Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"measurementtype"="raw"
"command"="run"
"workload"="core"
"scanproportion"="0"
"threadcount"="8"
"dotransactions"="true"
"insertproportion"="0"
"readproportion"="0.5"
"operationcount"="50000"
"requestdistribution"="uniform"
"docollectingdata"="false"
"etcd.dial_timeout"="10s"
"updateproportion"="0.5"
"etcd.endpoints"="192.168.37.15:2379"
"recordcount"="100000"
"readallfields"="true"
**********************************************
**********************************************
Run finished, takes 9m10.150120668s
operation,timestamp_us,latency_us
READ,1716265700336328,117846
READ,1716265700395361,117274
READ,1716265700395787,116910
READ,1716265700395412,117324
READ,1716265700454153,117439
READ,1716265700454856,116839
READ,1716265700454186,117519
READ,1716265700454167,117554
READ,1716265700514064,116310
READ,1716265700572607,116727
READ,1716265700572616,116756
READ,1716265700572610,116778
READ,1716265700631689,116329
READ,1716265700631777,116275
READ,1716265700631842,116231
READ,1716265700689346,117402
READ,1716265700689421,117460
READ,1716265700691212,115708
READ,1716265700748067,117616
READ,1716265700748084,117760
READ,1716265700749105,116743
READ,1716265700806931,118025
READ,1716265700806763,118214
READ,1716265700808645,116457
READ,1716265700866330,117413
READ,1716265700926420,115923
READ,1716265700925113,117363
READ,1716265700984539,116548
READ,1716265700984727,116369
READ,1716265701042488,117271
READ,1716265701042357,117457
READ,1716265701045003,114835
READ,1716265701044572,115302
READ,1716265701102428,116522
READ,1716265701101108,118009
READ,1716265701101096,118107
READ,1716265701159829,117509
READ,1716265701164099,113328
READ,1716265701219625,118535
READ,1716265701219280,118947
READ,1716265701220090,118146
READ,1716265701219135,119132
READ,1716265701220013,118513
READ,1716265701277444,119692
READ,1716265701277352,119837
READ,1716265701278715,118518
READ,1716265701338544,117328
READ,1716265701338252,117625
READ,1716265701338175,117705
READ,1716265701398082,116595
READ,1716265701397245,117457
READ,1716265701397149,117558
READ,1716265701455886,117654
READ,1716265701455888,117795
READ,1716265701455885,117824
READ,1716265701514719,117562
