Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.14:2379"
"insertproportion"="0"
"readallfields"="true"
"threadcount"="8"
"dotransactions"="true"
"operationcount"="50000"
"readproportion"="0.5"
"recordcount"="100000"
"measurementtype"="raw"
"docollectingdata"="false"
"command"="run"
"workload"="core"
"etcd.dial_timeout"="10s"
"requestdistribution"="uniform"
"scanproportion"="0"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 3m30.714394972s
operation,timestamp_us,latency_us
TOTAL,1716265691443650,44200
TOTAL,1716265691465617,23373
TOTAL,1716265691465721,23323
TOTAL,1716265691466823,43331
TOTAL,1716265691465491,44684
TOTAL,1716265691466972,43253
TOTAL,1716265691487853,44663
TOTAL,1716265691487794,44739
TOTAL,1716265691487861,44710
TOTAL,1716265691489059,43669
TOTAL,1716265691489003,43781
TOTAL,1716265691510173,23370
TOTAL,1716265691510237,44737
TOTAL,1716265691510187,44799
TOTAL,1716265691532537,23343
TOTAL,1716265691532591,23549
TOTAL,1716265691532739,23437
TOTAL,1716265691532551,23669
TOTAL,1716265691533557,43921
TOTAL,1716265691532795,44709
TOTAL,1716265691555004,23063
TOTAL,1716265691556158,23510
TOTAL,1716265691556192,23672
TOTAL,1716265691554986,44940
TOTAL,1716265691556234,43711
TOTAL,1716265691555901,44060
TOTAL,1716265691577496,23522
TOTAL,1716265691579886,23544
TOTAL,1716265691579687,23786
TOTAL,1716265691578081,44203
TOTAL,1716265691577517,44786
TOTAL,1716265691599954,23343
TOTAL,1716265691599981,23721
TOTAL,1716265691599966,23738
TOTAL,1716265691601034,23080
TOTAL,1716265691603448,23048
TOTAL,1716265691603491,23080
TOTAL,1716265691622303,23140
TOTAL,1716265691622317,23529
TOTAL,1716265691623318,22976
TOTAL,1716265691623726,23122
TOTAL,1716265691623723,23140
TOTAL,1716265691624134,23017
TOTAL,1716265691626520,23025
TOTAL,1716265691626583,41921
TOTAL,1716265691646868,23135
TOTAL,1716265691646878,23220
TOTAL,1716265691647173,22942
TOTAL,1716265691649565,23001
TOTAL,1716265691645858,44760
TOTAL,1716265691645456,45165
TOTAL,1716265691646309,44467
TOTAL,1716265691668525,23497
TOTAL,1716265691670123,23174
TOTAL,1716265691670017,43092
TOTAL,1716265691672577,40547
TOTAL,1716265691670128,43028
