Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"workload"="core"
"readallfields"="true"
"threadcount"="8"
"command"="run"
"insertproportion"="0"
"etcd.dial_timeout"="10s"
"scanproportion"="0"
"readproportion"="0.5"
"dotransactions"="true"
"operationcount"="50000"
"measurementtype"="raw"
"docollectingdata"="false"
"recordcount"="100000"
"etcd.endpoints"="192.168.37.16:2379"
"requestdistribution"="uniform"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 5m45.449650183s
operation,timestamp_us,latency_us
UPDATE,1716265701125678,37180
UPDATE,1716265701128235,37567
UPDATE,1716265701160893,37543
UPDATE,1716265701162878,37437
UPDATE,1716265701196852,37481
UPDATE,1716265701200338,37803
UPDATE,1716265701233613,38919
UPDATE,1716265701234350,38184
UPDATE,1716265701233633,38930
UPDATE,1716265701271441,38042
UPDATE,1716265701270883,38708
UPDATE,1716265701271024,43486
UPDATE,1716265701272551,43278
UPDATE,1716265701272582,43259
UPDATE,1716265701272558,43314
UPDATE,1716265701309506,37715
UPDATE,1716265701314528,37428
UPDATE,1716265701315856,37561
UPDATE,1716265701315857,37622
UPDATE,1716265701347238,37342
UPDATE,1716265701351974,37351
UPDATE,1716265701353434,37427
UPDATE,1716265701389338,37415
UPDATE,1716265701390872,37450
UPDATE,1716265701418585,37964
UPDATE,1716265701455388,37461
UPDATE,1716265701456564,37672
UPDATE,1716265701492569,37406
UPDATE,1716265701492870,37365
UPDATE,1716265701529470,37359
UPDATE,1716265701566305,37399
UPDATE,1716265701602946,37420
UPDATE,1716265701639845,37523
UPDATE,1716265701640387,37401
UPDATE,1716265701676728,37396
UPDATE,1716265701676783,37456
UPDATE,1716265701677426,37266
UPDATE,1716265701677807,37234
UPDATE,1716265701714712,37245
UPDATE,1716265701715056,37227
UPDATE,1716265701751978,37412
UPDATE,1716265701752304,37501
UPDATE,1716265701787217,37922
UPDATE,1716265701787137,38080
UPDATE,1716265701789426,37263
UPDATE,1716265701789820,37243
UPDATE,1716265701823787,37555
UPDATE,1716265701825154,37650
UPDATE,1716265701825238,37574
UPDATE,1716265701827083,37398
UPDATE,1716265701862832,37667
UPDATE,1716265701864504,37419
UPDATE,1716265701900518,37966
UPDATE,1716265701934283,37498
UPDATE,1716265701934226,37569
UPDATE,1716265701938504,37720
UPDATE,1716265701971015,37338
UPDATE,1716265701971100,37612
UPDATE,1716265701971039,37686
UPDATE,1716265701971799,37419
UPDATE,1716265702007562,37464
UPDATE,1716265702008730,37542
UPDATE,1716265702044445,37673
UPDATE,1716265702081351,37594
UPDATE,1716265702118158,37419
UPDATE,1716265702154935,37604
UPDATE,1716265702155598,37347
UPDATE,1716265702228206,37372
UPDATE,1716265702265067,38045
UPDATE,1716265702265595,37569
UPDATE,1716265702265072,38111
UPDATE,1716265702301804,37653
UPDATE,1716265702303183,37469
UPDATE,1716265702338462,37417
UPDATE,1716265702339471,37566
UPDATE,1716265702340666,37392
UPDATE,1716265702375364,37645
UPDATE,1716265702375374,37648
UPDATE,1716265702375904,37319
UPDATE,1716265702377053,37291
UPDATE,1716265702378076,37274
UPDATE,1716265702412084,37806
UPDATE,1716265702413029,37485
UPDATE,1716265702448833,37644
UPDATE,1716265702450528,37439
UPDATE,1716265702485700,37610
UPDATE,1716265702485705,37800
UPDATE,1716265702486494,37266
UPDATE,1716265702522404,37395
UPDATE,1716265702523333,37260
UPDATE,1716265702523772,37167
UPDATE,1716265702559135,37478
UPDATE,1716265702560607,37480
UPDATE,1716265702560950,37439
UPDATE,1716265702595927,37435
UPDATE,1716265702598106,37359
UPDATE,1716265702632722,37458
UPDATE,1716265702633378,37792
UPDATE,1716265702635491,37414
UPDATE,1716265702669313,37515
UPDATE,1716265702672926,37350
UPDATE,1716265702706061,37547
UPDATE,1716265702710294,37153
UPDATE,1716265702742890,37555
UPDATE,1716265702742910,37543
UPDATE,1716265702743633,37277
UPDATE,1716265702747461,37490
UPDATE,1716265702779736,37433
UPDATE,1716265702779757,37499
UPDATE,1716265702780464,37323
UPDATE,1716265702784970,37304
UPDATE,1716265702816777,37666
UPDATE,1716265702817273,37508
UPDATE,1716265702817807,37323
