Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 9999]
***************** properties *****************
"threadcount"="4"
"insertproportion"="0"
"readproportion"="0.5"
"dotransactions"="false"
"docollectingdata"="false"
"readallfields"="true"
"etcd.endpoints"="192.168.37.11:2379"
"operationcount"="1000000"
"updateproportion"="0.5"
"workload"="core"
"measurementtype"="raw"
"command"="load"
"requestdistribution"="uniform"
"scanproportion"="0"
"etcd.dial_timeout"="1s"
"recordcount"="10000"
**********************************************
**********************************************
Run finished, takes 5m36.618769603s
operation,timestamp_us,latency_us
TOTAL,1717481349965851,163268
TOTAL,1717481349965812,163383
TOTAL,1717481350021781,107450
TOTAL,1717481350129262,149145
TOTAL,1717481350129140,149281
TOTAL,1717481350129301,149118
TOTAL,1717481350129194,149324
TOTAL,1717481350278591,27568
TOTAL,1717481350278474,158243
TOTAL,1717481350278486,158321
TOTAL,1717481350306186,130665
TOTAL,1717481350278494,158395
TOTAL,1717481350436786,60996
TOTAL,1717481350436888,83734
TOTAL,1717481350436918,83738
TOTAL,1717481350436962,83761
TOTAL,1717481350497849,141858
TOTAL,1717481350520719,119052
TOTAL,1717481350520691,119150
TOTAL,1717481350520793,119061
TOTAL,1717481350639852,159528
TOTAL,1717481350639908,159495
TOTAL,1717481350639922,159587
TOTAL,1717481350639787,159751
TOTAL,1717481350799604,57177
TOTAL,1717481350799447,57339
TOTAL,1717481350856867,139653
TOTAL,1717481350856874,139680
TOTAL,1717481350799575,197047
TOTAL,1717481350799473,197255
TOTAL,1717481350996588,62443
TOTAL,1717481350996618,62660
TOTAL,1717481350996798,62669
TOTAL,1717481350996688,62802
TOTAL,1717481351059134,102723
TOTAL,1717481351059535,102532
TOTAL,1717481351059360,102709
TOTAL,1717481351059566,102533
TOTAL,1717481351161922,20691
TOTAL,1717481351162161,95910
TOTAL,1717481351162125,96104
TOTAL,1717481351162132,96101
TOTAL,1717481351258302,80423
TOTAL,1717481351258135,80597
TOTAL,1717481351182700,156049
TOTAL,1717481351258331,149712
TOTAL,1717481351338811,187726
TOTAL,1717481351338796,187748
TOTAL,1717481351408111,118471
TOTAL,1717481351338798,187871
TOTAL,1717481351526654,80567
TOTAL,1717481351526640,81094
TOTAL,1717481351526640,81100
TOTAL,1717481351526768,80986
TOTAL,1717481351607321,101803
TOTAL,1717481351607808,101335
TOTAL,1717481351607839,101474
TOTAL,1717481351709185,82485
TOTAL,1717481351607790,183916
TOTAL,1717481351709214,203931
TOTAL,1717481351791783,121395
TOTAL,1717481351709379,203899
TOTAL,1717481351791743,121543
TOTAL,1717481351913215,92431
TOTAL,1717481351913245,92745
TOTAL,1717481352005721,81754
TOTAL,1717481351913351,174237
TOTAL,1717481351913354,174244
TOTAL,1717481352006054,81548
TOTAL,1717481352087652,85393
TOTAL,1717481352087545,85517
TOTAL,1717481352173138,81061
TOTAL,1717481352087669,166554
TOTAL,1717481352087664,166578
TOTAL,1717481352173111,106708
TOTAL,1717481352254292,67261
TOTAL,1717481352254311,67250
TOTAL,1717481352254289,94124
TOTAL,1717481352321645,100001
TOTAL,1717481352321616,100041
TOTAL,1717481352279883,141844
TOTAL,1717481352348476,114329
TOTAL,1717481352421805,74284
TOTAL,1717481352496162,102805
TOTAL,1717481352421720,177273
TOTAL,1717481352462891,136104
TOTAL,1717481352421720,177344
TOTAL,1717481352599068,58156
TOTAL,1717481352599075,78183
TOTAL,1717481352599131,78161
TOTAL,1717481352599074,78325
TOTAL,1717481352657297,126403
TOTAL,1717481352677366,106392
TOTAL,1717481352677321,106473
TOTAL,1717481352677477,106383
TOTAL,1717481352783764,87173
TOTAL,1717481352783836,87144
TOTAL,1717481352871049,92670
TOTAL,1717481352871002,92776
TOTAL,1717481352783862,179921
TOTAL,1717481352783933,179988
TOTAL,1717481352963988,172981
TOTAL,1717481352963843,173235
TOTAL,1717481352963854,173229
TOTAL,1717481352963783,173407
TOTAL,1717481353137036,31702
TOTAL,1717481353137263,82243
TOTAL,1717481353137157,82723
TOTAL,1717481353137155,82797
TOTAL,1717481353220001,130947
TOTAL,1717481353219946,131020
TOTAL,1717481353168810,182166
TOTAL,1717481353219571,131464
TOTAL,1717481353351033,79498
TOTAL,1717481353351103,79458
TOTAL,1717481353351018,79628
TOTAL,1717481353351041,98600
TOTAL,1717481353430666,106096
TOTAL,1717481353430717,106195
TOTAL,1717481353430598,106337
TOTAL,1717481353449707,87461
TOTAL,1717481353537251,165377
TOTAL,1717481353536986,165714
TOTAL,1717481353536884,165900
TOTAL,1717481353537044,165743
TOTAL,1717481353702694,94859
