Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"recordcount"="100000"
"dotransactions"="true"
"etcd.dial_timeout"="1s"
"scanproportion"="0"
"readallfields"="true"
"command"="run"
"workload"="core"
"updateproportion"="0"
"docollectingdata"="false"
"operationcount"="50000"
"readproportion"="0.95"
"insertproportion"="0.05"
"etcd.endpoints"="192.168.37.13:2379"
"requestdistribution"="latest"
"threadcount"="5"
**********************************************
READ_ERROR - Takes(s): 119.9, Count: 1531, OPS: 12.8, Avg(us): 212646, Min(us): 102208, Max(us): 262399, 50th(us): 212735, 90th(us): 228479, 95th(us): 235263, 99th(us): 245247, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 119.6, Count: 1347, OPS: 11.3, Avg(us): 203373, Min(us): 98880, Max(us): 262015, 50th(us): 210303, 90th(us): 226559, 95th(us): 233343, 99th(us): 243583, 99.9th(us): 253567, 99.99th(us): 262015
INSERT - Takes(s): 129.6, Count: 129, OPS: 1.0, Avg(us): 117696, Min(us): 98880, Max(us): 168319, 50th(us): 111039, 90th(us): 146303, 95th(us): 154495, 99th(us): 165119, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 129.3, Count: 1358, OPS: 10.5, Avg(us): 210467, Min(us): 100672, Max(us): 262015, 50th(us): 210687, 90th(us): 226559, 95th(us): 233215, 99th(us): 242047, 99.9th(us): 253567, 99.99th(us): 262015
READ_ERROR - Takes(s): 129.9, Count: 1646, OPS: 12.7, Avg(us): 211943, Min(us): 96320, Max(us): 262399, 50th(us): 211967, 90th(us): 227583, 95th(us): 234879, 99th(us): 245247, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 129.6, Count: 1487, OPS: 11.5, Avg(us): 202419, Min(us): 98880, Max(us): 262015, 50th(us): 209407, 90th(us): 225151, 95th(us): 232447, 99th(us): 242047, 99.9th(us): 253567, 99.99th(us): 262015
INSERT - Takes(s): 139.6, Count: 144, OPS: 1.0, Avg(us): 116463, Min(us): 97600, Max(us): 168319, 50th(us): 110655, 90th(us): 143487, 95th(us): 154239, 99th(us): 165119, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 139.3, Count: 1481, OPS: 10.6, Avg(us): 209918, Min(us): 100672, Max(us): 262015, 50th(us): 210047, 90th(us): 225407, 95th(us): 232447, 99th(us): 242047, 99.9th(us): 253567, 99.99th(us): 262015
READ_ERROR - Takes(s): 139.9, Count: 1759, OPS: 12.6, Avg(us): 211444, Min(us): 96320, Max(us): 262399, 50th(us): 211327, 90th(us): 227199, 95th(us): 234239, 99th(us): 245119, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 139.6, Count: 1625, OPS: 11.6, Avg(us): 201636, Min(us): 97600, Max(us): 262015, 50th(us): 209023, 90th(us): 223999, 95th(us): 231551, 99th(us): 241919, 99.9th(us): 251263, 99.99th(us): 262015
