Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"requestdistribution"="latest"
"readallfields"="true"
"command"="run"
"threadcount"="5"
"insertproportion"="0.05"
"readproportion"="0.95"
"etcd.dial_timeout"="1s"
"operationcount"="50000"
"dotransactions"="true"
"etcd.endpoints"="192.168.37.11:2379"
"updateproportion"="0"
"workload"="core"
"recordcount"="100000"
"scanproportion"="0"
"docollectingdata"="false"
**********************************************
READ   - Takes(s): 119.9, Count: 2361, OPS: 19.7, Avg(us): 122638, Min(us): 54496, Max(us): 152703, 50th(us): 122815, 90th(us): 132735, 95th(us): 135935, 99th(us): 142079, 99.9th(us): 149759, 99.99th(us): 152703
READ_ERROR - Takes(s): 119.9, Count: 2384, OPS: 19.9, Avg(us): 122195, Min(us): 54016, Max(us): 159359, 50th(us): 122623, 90th(us): 132607, 95th(us): 135679, 99th(us): 140799, 99.9th(us): 159359, 99.99th(us): 159359
TOTAL  - Takes(s): 119.9, Count: 2617, OPS: 21.8, Avg(us): 117766, Min(us): 53344, Max(us): 152703, 50th(us): 121919, 90th(us): 132479, 95th(us): 135295, 99th(us): 141695, 99.9th(us): 149503, 99.99th(us): 152703
INSERT - Takes(s): 129.8, Count: 281, OPS: 2.2, Avg(us): 71871, Min(us): 53344, Max(us): 120831, 50th(us): 66175, 90th(us): 94783, 95th(us): 99711, 99th(us): 109759, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 129.9, Count: 2607, OPS: 20.1, Avg(us): 122244, Min(us): 54496, Max(us): 152703, 50th(us): 122367, 90th(us): 132479, 95th(us): 135423, 99th(us): 141695, 99.9th(us): 149503, 99.99th(us): 152703
READ_ERROR - Takes(s): 129.9, Count: 2549, OPS: 19.6, Avg(us): 121987, Min(us): 54016, Max(us): 159359, 50th(us): 122495, 90th(us): 132223, 95th(us): 135423, 99th(us): 140543, 99.9th(us): 152575, 99.99th(us): 159359
TOTAL  - Takes(s): 129.9, Count: 2888, OPS: 22.2, Avg(us): 117342, Min(us): 53344, Max(us): 152703, 50th(us): 121599, 90th(us): 132095, 95th(us): 135039, 99th(us): 141311, 99.9th(us): 149503, 99.99th(us): 152703
INSERT - Takes(s): 139.8, Count: 304, OPS: 2.2, Avg(us): 71161, Min(us): 53344, Max(us): 120831, 50th(us): 65919, 90th(us): 94719, 95th(us): 99455, 99th(us): 109759, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 139.9, Count: 2842, OPS: 20.3, Avg(us): 121957, Min(us): 54496, Max(us): 152703, 50th(us): 122111, 90th(us): 132223, 95th(us): 135039, 99th(us): 141439, 99.9th(us): 149503, 99.99th(us): 152703
READ_ERROR - Takes(s): 139.9, Count: 2721, OPS: 19.4, Avg(us): 121746, Min(us): 52288, Max(us): 159359, 50th(us): 122239, 90th(us): 131967, 95th(us): 135039, 99th(us): 140159, 99.9th(us): 152575, 99.99th(us): 159359
TOTAL  - Takes(s): 139.9, Count: 3146, OPS: 22.5, Avg(us): 117049, Min(us): 53344, Max(us): 152703, 50th(us): 121215, 90th(us): 131711, 95th(us): 134783, 99th(us): 141311, 99.9th(us): 149503, 99.99th(us): 152703
INSERT - Takes(s): 149.8, Count: 327, OPS: 2.2, Avg(us): 70594, Min(us): 53344, Max(us): 120831, 50th(us): 65663, 90th(us): 92735, 95th(us): 99071, 99th(us): 109759, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 149.9, Count: 3078, OPS: 20.5, Avg(us): 121753, Min(us): 54496, Max(us): 152703, 50th(us): 121983, 90th(us): 131839, 95th(us): 134783, 99th(us): 141311, 99.9th(us): 149503, 99.99th(us): 152703
READ_ERROR - Takes(s): 149.9, Count: 2893, OPS: 19.3, Avg(us): 121639, Min(us): 52288, Max(us): 159359, 50th(us): 122175, 90th(us): 131583, 95th(us): 134783, 99th(us): 140031, 99.9th(us): 152575, 99.99th(us): 159359
TOTAL  - Takes(s): 149.9, Count: 3405, OPS: 22.7, Avg(us): 116840, Min(us): 53344, Max(us): 152703, 50th(us): 121087, 90th(us): 131455, 95th(us): 134527, 99th(us): 140927, 99.9th(us): 149503, 99.99th(us): 152703
INSERT - Takes(s): 159.8, Count: 355, OPS: 2.2, Avg(us): 69913, Min(us): 53344, Max(us): 120831, 50th(us): 64831, 90th(us): 92351, 95th(us): 98367, 99th(us): 108799, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 159.9, Count: 3319, OPS: 20.8, Avg(us): 121514, Min(us): 54496, Max(us): 152703, 50th(us): 121727, 90th(us): 131583, 95th(us): 134527, 99th(us): 141183, 99.9th(us): 149503, 99.99th(us): 152703
